rank,target,region,primary_markets,target_type,priority_tier,owner_or_entity_clue,why_actionable,next_check,source_note
16,Hodges & Sons Plumbing & Heating,Northern NJ,Bergen County NJ,Plumbing plus water treatment,C,"Established 1989","Service contracts and salt delivery for water systems.","Screen only if water-treatment book is separately tracked.",Existing sprint sources
17,Long Island Clean Water Service,NY,Greater NYC / Westchester adjacent,Water treatment / salt delivery,C,Not verified,"Salt delivery and maintenance; more LI/NYC than core target geography.","Verify service area and route density before ranking.",Existing sprint sources
18,Aqua Pump Co.,CT / Western MA,CT / Western MA,Technical pump and filtration platform,B,"Established 1973; family since 1940s","Certified operator program, filtration/conditioning, well/pump expertise.","May be too technical/larger; verify recurring maintenance and non-owner bench.",Existing sprint sources
19,CTSoftWater,Connecticut,CT,Family-owned water softening operator,B,"Family-owned; 100+ 5-star reviews claim","All-brand service, salt delivery, annual tune-ups, modern CT operator signal.","Verify review claim, route count, and technical owner dependence.",Existing sprint sources
20,Hydro-Pure Water Treatment,Connecticut,Eastern / Shoreline CT,Owner-operated water treatment,C,"Owner-operated since 1997","Services most makes/models; well pumps/tanks/testing.","Owner dependence likely; verify staff and customer file.",Existing sprint sources
21,Servisoft Water Refining Systems,Connecticut,New Milford / Fairfield County CT,Water refining / salt delivery,B,Not verified,"Salt/potassium delivery, service contracts, rentals, maintenance keywords.","Verify active contracts, route density, and entity ownership.",Existing sprint sources
22,Clean Water Man,Connecticut,Fairfield / Litchfield CT,Small water treatment specialist,C,Not verified,"Residential filters, softeners, purifiers, well tanks; small specialist.","Likely small; use for operator-call learning or tuck-in only.",Existing sprint sources
23,Marino's Waterworks,Connecticut,Fairfield County CT,Water treatment / water supply / well pumps,C,Not verified,"Water treatment plus water supply and well pumps; 24/7 emergency.","Verify recurring service vs emergency/project mix.",Existing sprint sources
24,Werner Water Systems,CT / NY,CT / NY,Water treatment / well systems,C,"Family-owned signal; licensed","PFAS/PFOA, radon, wells/pumps creates technical demand.","Verify service contracts, tech bench, and owner dependence.",Existing sprint sources
25,Gary's Pump Service,Connecticut,Fairfield / New Haven CT,Pump service plus conditioning,C,Not verified,"Pump-service company with conditioning/filtration, UV, salt-free softeners.","Likely project/repair-heavy; screen for recurring maintenance.",Existing sprint sources
26,Hanson's Water Filtration,Massachusetts,Westford / MA / NH,Independent water filtration specialist,B,"Family-owned since 2003","Outer-suburb/private-well MA target where Boston-core hardness thesis is weak.","Verify recurring route evidence and installed-base count.",Existing sprint sources
27,Culligan Water Filtration of New England,Massachusetts,Eastern MA,Culligan dealer,B,"Local family-owned Culligan dealer since 1992","Potential route/install base, but dealer rights dominate diligence.","Verify dealer transferability, customer ownership, and franchisor/vendor consent.",Existing sprint sources
28,Aquathin Greater Boston,Massachusetts,Greater Boston,Water treatment / maintenance,C,Not verified,"Analysis, installation, post-sale maintenance for filters/softeners/RO.","Verify whether recurring maintenance is material; Boston-core water softness is a headwind.",Existing sprint sources
29,Premier Water Systems,Massachusetts / RI,New England,Water treatment / bottleless coolers,C,"30+ years","Broad New England softeners/filters/coolers operator.","Verify geography density, route recurrence, and whether B2B cooler service is meaningful.",Existing sprint sources
30,High Purity Water Inc.,Massachusetts,Middlesex / Worcester MA,Water treatment specialist,C,"Four-decade name","Hard-water, softening, dechlorination, RO; outer-suburb screen.","Verify customer base, recurring mix, and current ownership.",Existing sprint sources
