rank,target,geo,primary_markets,target_type,priority_tier,owner_or_entity_clue,why_actionable,next_check,source_note
14,DEP Backflow Inc.,New York,NYC,NYC specialist,C,"DEP Backflow Inc.","NYC annual service-plan workflow and 20+ year language.","Credential stack and competition make it secondary; verify economics before pursuing.",Existing sprint sources
15,Heritage Plumbing Boston,Massachusetts,Boston metro,Plumbing plus backflow,C,"Heritage Plumbing Boston","BWSC form submission and repair capability.","Only actionable if backflow revenue is separately tracked and recurring.",Existing sprint sources
16,Backflow Prevention Services,Massachusetts,Boston metro / MA,Backflow specialist,C,Not verified,"Named in Mass/Boston desk-target map as a possible specialist.","Pull MassDEP XLSX, verify certification IDs, website, service contract language.",Existing sprint target map
17,Mass Backflow Testing,Massachusetts,Greater Boston / MA,Backflow specialist,C,Not verified,"Named in Mass/Boston desk-target map; likely pure testing keyword match.","Verify MassDEP roster, route density, device count, owner dependence.",Existing sprint target map
18,New England Backflow,Massachusetts / New England,MA / CT / RI,Backflow specialist,C,Not verified,"Named in MA and CT desk maps; regional specialist possibility.","Verify state credential rosters and whether geography is too scattered.",Existing sprint target map
19,Backflow Testing Services of New England,Massachusetts / New England,MA / New England,Backflow specialist,C,Not verified,"Named in MA desk-target map as a potential pure-play tester.","Verify legal entity, service-contract language, density, tester bench.",Existing sprint target map
20,CT Backflow Testing,Connecticut,Connecticut,Backflow specialist,C,Not verified,"Named in CT desk-target map; likely pure testing position.","Pull CT eLicense roster and verify service/install attach.",Existing sprint target map
21,Brothers Backflow,South Florida,Broward / Palm Beach,Backflow specialist,C,Not verified,"Named in Broward desk-target map; potential small route tuck-in.","Verify legal entity, BSI/county filing workflow, review quality, owner dependence.",Existing sprint target map
22,Grand Plumbing,South Florida,Miami-Dade,Plumbing plus backflow,C,Not verified,"Named in Miami-Dade desk map; plumbing-backed backflow possibility.","Screen only if backflow book is separable and recurring.",Existing sprint target map
23,Safe Water Backflow,New York / New Jersey,NY / NJ,Backflow specialist,C,Not verified,"Named in NY/NJ secondary screen; possible specialist.","Verify official list presence, quarterly/annual testing book, and density.",Existing sprint target map
24,IV Backflow Services,New York / New Jersey,NY / NJ,Backflow specialist,C,Not verified,"Named in NY/NJ secondary screen; possible specialist.","Verify official roster, entity, owner, and route economics.",Existing sprint target map
25,Backflow Prevention Services of New England,New England,MA / CT / RI,Backflow specialist,C,Not verified,"Regional-name variant to resolve during MassDEP/CT roster pull.","Resolve duplicates against New England Backflow and BTSNE before outreach.",Existing sprint target map
26,1A Backflow Certifications & Services,South Florida,West Palm Beach / Palm Beach,Backflow specialist,C,"Appears on West Palm Beach approved plumber list per sprint","Approved-list signal in Palm Beach annual compliance market.","Verify whether same as A1 Backflow or separate entity before contact.",Existing sprint target map
27,All County Backflow,South Florida,Miami-Dade / Broward / Palm Beach,Backflow specialist,C,Not verified,"Likely local-keyword target for tri-county SFL screen.","Use as a placeholder for approved-list/web expansion; verify existence before ranking.",Desk expansion placeholder
28,Florida Backflow Testing,South Florida,South Florida,Backflow specialist,C,Not verified,"Likely local-keyword target for SFL approved-list scrape.","Use only after municipal list confirmation.",Desk expansion placeholder
29,NYC Backflow Prevention,New York,NYC,Backflow specialist,C,Not verified,"Likely NYC annual-test specialist keyword candidate.","Verify NYC DEP workflow, roster, and customer density.",Desk expansion placeholder
30,Tri-State Backflow,NY / NJ / CT,Tri-state,Backflow specialist,C,Not verified,"Potential regional target if official-list overlap exists.","Verify entity and avoid if service area is too scattered.",Desk expansion placeholder
